Join Date,Name,Completed
"18 Apr 2014, 22:14:31",Strava Races 10k,true
"18 Apr 2014, 22:16:52",April MTS,false
"5 Nov 2018, 14:12:27",The Lucozade Sport #MadeToMove 2.0 Challenge,true
"30 Dec 2018, 22:55:34",January Running Distance Challenge,true
"30 Dec 2018, 22:55:37",January 10K,true
"3 Jan 2019, 13:17:22",January Gran Fondo,false
"3 Jan 2019, 13:20:52",January Run Climbing Challenge,true
"7 Jan 2019, 11:06:12",lululemon 40|80 Challenge,true
"5 Feb 2019, 11:42:38",February Run Climbing Challenge,true
"5 Feb 2019, 11:42:41",February 10K,true
"5 Feb 2019, 11:42:49",February Running Distance Challenge,true
"5 Feb 2019, 11:42:53",February 5K Virtual Race,true
"26 Feb 2019, 14:28:43",Runderwear 20 in 2 Challenge,true
"26 Feb 2019, 14:28:51",March 5K Virtual Race,true
"26 Feb 2019, 14:28:56",March Run Climbing Challenge,true
"26 Feb 2019, 14:28:59",March Running Distance Challenge,false
"26 Feb 2019, 14:29:03",March 10K,true
"12 Mar 2019, 10:59:57",Science in Sport 22k Isotonic Challenge,true
"31 Mar 2019, 08:43:45",April Running Distance Challenge,true
"31 Mar 2019, 08:43:47",April Run Climbing Challenge,true
"31 Mar 2019, 08:43:53",April Half Marathon,true
"1 Apr 2019, 12:11:00",April 10K,true
"1 Apr 2019, 12:11:43",Polar April 2019 Running Challenge,true
"12 Apr 2019, 08:41:16",The Salomon 20 Mile Challenge,true
"25 Apr 2019, 08:57:55",Run Your Local Mountain with On,false
"25 Apr 2019, 08:58:44",May Half Marathon,true
"25 Apr 2019, 08:58:47",May Running Distance Challenge,false
"25 Apr 2019, 08:58:49",May Run Climbing Challenge,true
"25 Apr 2019, 08:58:57",May 10K,true
"26 Apr 2019, 05:23:43",May 5K Virtual Race,true
"2 May 2019, 18:00:46",HOKA ONE ONE® Project Carbon X 100K Challenge,false
"28 May 2019, 09:21:01",June 5K Virtual Race,false
"28 May 2019, 09:27:14",June 10K,true
"28 May 2019, 09:27:19",June Running Distance Challenge,false
"28 May 2019, 09:27:21",June Run Climbing Challenge,true
"28 May 2019, 09:27:26",June Half Marathon,false
"8 Aug 2019, 17:04:26",August Cycling Distance Challenge,false
"30 Aug 2019, 10:15:01",The Escape Plan,false
"30 Aug 2019, 10:15:08",September 5K,true
"30 Aug 2019, 10:15:18",September Run Climbing Challenge,true
"6 Sep 2019, 12:17:54",September Running Distance Challenge,true
"30 Sep 2019, 09:59:21",October 5K,true
"30 Sep 2019, 09:59:25",October Run Climbing Challenge,true
"30 Sep 2019, 09:59:27",October Running Distance Challenge,true
"30 Sep 2019, 09:59:32",October 10K,true
"30 Sep 2019, 09:59:32",October Half Marathon,true
"14 Oct 2019, 19:49:53",Lucozade Sport #MadetoMove Challenge,true
"31 Oct 2019, 22:04:16",November 5K,true
"31 Oct 2019, 22:04:21",November Run Climbing Challenge,true
"31 Oct 2019, 22:04:28",November Running Distance Challenge,false
"31 Oct 2019, 22:04:31",November 10K,true
"31 Oct 2019, 22:04:34",November Half Marathon,true
"9 Dec 2019, 11:46:30",December Running Distance Challenge,false
"9 Dec 2019, 11:46:33",December Run Climbing Challenge,true
"9 Dec 2019, 11:46:41",December 5K,true
"30 Dec 2019, 13:44:35",January Running Distance Challenge,false
"30 Dec 2019, 13:44:39",January 5K,true
"30 Dec 2019, 13:44:44",January 10K,true
"30 Dec 2019, 13:44:52",January Half Marathon,false
"30 Dec 2019, 13:44:55",January Run Climbing Challenge,true
"29 Feb 2020, 10:33:24",February Half Marathon,true
"29 Feb 2020, 10:33:56",February 5K,true
"29 Feb 2020, 10:33:59",February Run Climbing Challenge,true
"29 Feb 2020, 10:34:02",February Running Distance Challenge,true
"29 Feb 2020, 10:34:05",February 10K,true
"29 Feb 2020, 10:36:53",March Half Marathon,true
"29 Feb 2020, 10:36:56",March Running Distance Challenge,true
"29 Feb 2020, 10:37:02",March Run Climbing Challenge,true
"29 Feb 2020, 10:37:05",March 5K,true
"29 Feb 2020, 10:37:08",March 10K,true
"18 Jun 2020, 06:07:49",June Running Distance Challenge,true
"18 Jun 2020, 06:07:51",June Run Climbing Challenge,true
"18 Oct 2020, 16:28:38",Le Col Giro Challenge,true
