Comment Date,Comment
"23 May 2014, 11:32:43","Hey dude, just the Welsh half in July at the moment. Had a problem with my knee over the last few weeks so been a frustrating time off. Hopefully can ease my way back into it now though."
"30 May 2014, 10:52:42",Epic.
"24 Aug 2014, 07:36:33","This winter Tom. I'm booked on the Gower one in November, and hoping to sign up for a few more after too. "
"31 Aug 2014, 18:00:20",Not too shabby Tom. 
"24 Oct 2014, 14:12:46",Entered the Gower one and going to hopefully sign up for a few more soon. You up for any? Also doing the Milton Keynes half marathon with Laura on 14th December if you fancy it?
"19 Feb 2015, 13:28:42","Nah, just a run with Laura! But I did do pretty much the same route as a race back in November. Really awesome place to run."
"29 Mar 2015, 12:09:09",Awesome time Tom! 
"16 Apr 2015, 16:22:12",Riding up hill Adam?! 
"21 Apr 2015, 09:33:07","Ha! Forgot you'd still be covered in snow! Good man, still on that hardtail? I'm really good cheers. Lots of trail running and biking when I can! Are you a permanent Canadian resident yet? "
"4 May 2015, 09:09:51","Haha, not too bad. I was pretty broken after 20k. It's hard to pace yourself when you can't remember how many hills are left! "
"26 Aug 2015, 09:44:33",Some serious elevation you achieved there Tom!
"3 Apr 2016, 22:03:28",Extra resistance.
"9 Apr 2016, 18:17:12",Think you need to improve your pace Jean. 
"9 Apr 2016, 18:18:54",Nice pins Sammy. 
"6 May 2016, 14:41:52",Nice one Sammy boy.
"27 Jun 2016, 09:52:47",Cheers guys :)
"30 Jul 2016, 08:47:09",Get on a foam roller! 
"8 Sep 2016, 09:34:43",Finally got one! Wish I'd bought the fenix.
"3 Oct 2016, 14:01:30",You still need your bar code if you want an official race participation and time with parkrun. 
"3 Oct 2016, 14:07:58",Just a short ride this weekend then Tom? ;) 
"16 Oct 2016, 15:37:04","Cheers Ems! Yes correct, never been before. Went up Fan Foel then along the ridge and back down. Those fells are hard work! "
"23 Oct 2016, 22:08:49",Getting into the hills are we?! Great run dude. 
"1 Nov 2016, 22:26:35",Racking up a few miles with this commuting Matt! 
"24 Nov 2016, 21:01:23",Don't need to tell you what your run looks like Jo... 
"27 Nov 2016, 22:27:31",All downhill to the finish! 
"3 Dec 2016, 08:52:03",Nice photos Ben! 
"8 Dec 2016, 19:41:36",Getting back up to speed dude! 
"8 Dec 2016, 22:00:02","It's the biggest hill in Swansea and it's right next to my office, nice loop before work :) "
"10 Dec 2016, 15:52:29",Ofcourse! 
"8 Jan 2017, 14:46:38",Epic. 
"21 Jan 2017, 21:49:58",Yes dude! 
"4 Feb 2017, 21:24:16",Sea front run? 
"4 Feb 2017, 23:54:17",Great run! CTS? 
"8 Feb 2017, 10:17:51",Great news Roland!
"20 Feb 2017, 21:12:17",Nice on Sammy! 
"7 Mar 2017, 16:06:40",Did I miss your Birthday Sam?
"7 Mar 2017, 16:44:40",Shit Sam I'm sorry. Happy Birthday. I'll tell Specialized to hurry up! 
"25 Mar 2017, 19:09:05","Nice one Sammy, how was it? "
"25 Mar 2017, 19:20:28","Unfortunately not, hurt my hip a few weeks ago so not done much recently. Hopefully back on it Monday :) "
"13 Apr 2017, 12:14:34",Great effort mate. 
"13 Apr 2017, 12:56:12",From the curry house to the supermarket!
"14 Apr 2017, 19:16:01",Did you dude? 
"14 Apr 2017, 19:16:23","Haha, did you win dude? Great run. "
"14 Apr 2017, 22:08:13",Introduction for Laura and Meg to fell running :) 
"27 Apr 2017, 07:14:56","Not bad I think considering I've hardly run over the last month. Really high standard, haven't seen the results yet. Loved it :) "
"29 Apr 2017, 20:08:42",Fair play Ben! 
"30 Apr 2017, 15:22:24",Epic Tom. You've raised the bar. 
"13 May 2017, 10:39:02","Cheers fellas. Faster than expected, I'm getting back in to it, coming for you Tom! "
"13 May 2017, 10:39:24","Middle of June Sammy, need to get some miles in before then! "
"18 May 2017, 09:24:28",My eyes are always closed in photos.
"21 May 2017, 20:21:12","Good cheers Tom, didn't really plan it, just kept going! Marathon distance is in reach. "
"21 May 2017, 20:25:59",A little ramble round the block Sam! 
"25 May 2017, 18:07:04",Smashed it Kel. 
"28 May 2017, 10:55:55","Haha cheers guys! Finished 13th out of 59. 12mins off the winner. Paced myself much better, so pretty pleased! "
"11 Jun 2017, 19:31:52",Very good Kel! 
"11 Jun 2017, 19:33:43",Awesome Tom. I love it when Laura cycles next to me running. 
"15 Jun 2017, 08:56:30",Yes Tom. PRs everywhere. I'm going to ride it next time I'm home.
"15 Jun 2017, 08:57:29",Nice commute Ben!
"15 Jun 2017, 19:23:40","Haha, you guys could get 2 or 3 laps in by the time I've got round! "
"19 Jun 2017, 06:26:42",Huge day Tom. How you feeling today? 
"2 Jul 2017, 07:59:09",I love that walk! 
"3 Jul 2017, 09:33:21",Massive effort Tom.
"1 Sep 2017, 09:22:23",Bikes are wonderful. So light and fast. Sam is welcome any time Ben.
"1 Sep 2017, 15:38:13","Haha, I can say for sure right now they are not as fast as your bike Roland!"
"1 Sep 2017, 15:40:54",We'll be back home for a ride soon :)
"4 Sep 2017, 12:11:41",An extended commute yes! Add some hills and distance in. 
"15 Sep 2017, 19:51:26","I know Roland! Don't worry though, Tom just sorted me out and I'll be back soon 👍"
"24 Sep 2017, 19:57:25","We've just been to Skye, stunning place. "
"13 Feb 2018, 09:52:54","Not at the moment Tom, just trying to build some fitness back up. Would like to do a few fell races soon. "
"18 Feb 2018, 12:58:03",All with bono! 
"22 Feb 2018, 19:47:06",Yeah it feels good! 
"23 Feb 2018, 11:52:11",She looks pumped! 
"6 Mar 2018, 09:48:45",What do you think to Zwift Jan?
"21 Mar 2018, 21:17:26",That's some commute Tom! 
"25 Mar 2018, 21:01:38",Amazing Erin. 
"8 Apr 2018, 22:03:22",Donny you're out of your element. 
"21 Apr 2018, 17:26:12",Go out hard on a 5k chez. 
"30 Apr 2018, 11:45:23",Yeeeeaaaahhh!
"2 May 2018, 06:14:16",You got a new bike dude?! 
"12 May 2018, 19:44:06",Nice one stu! Good to see you! 
"12 May 2018, 20:37:20","Amazing Tom, well done lads! "
"12 May 2018, 20:38:13","Cheers dude, great day! "
"13 May 2018, 06:47:12",Haha you and becky fancy it next year Niall? 
"17 May 2018, 17:27:54",😂
"21 May 2018, 19:01:40",😂
"15 Jun 2018, 22:54:56",BEAST
"15 Jun 2018, 22:55:17",Great pace dude. 
"26 Jun 2018, 15:11:30",Stunning dude.
"2 Jul 2018, 21:05:31",Haha yeah he was camping and gave me a shout. 
"15 Jul 2018, 06:53:36",Top photo 😂
"15 Jul 2018, 11:41:53",The knee is good dude! 
"6 Aug 2018, 08:43:29",Yes lovely! 
"10 Aug 2018, 08:34:14",I went that route on LEJOG. Very jealous Ems! 
"10 Aug 2018, 22:30:54","West Side, up to Drumnadrochit then turned onto the A833 up a really steep hill I think... It was a long time ago! "
"5 Sep 2018, 23:11:34",Yes Perksy Lad! 
"20 Sep 2018, 13:55:14",It's the name of the mountain chez. It's a short walk from the top of the gondola at kicking horse resort. It was a bit of a scramble near the top you would have loved it! 
"20 Sep 2018, 13:56:08",Up that ridge in the picture. 
"20 Sep 2018, 13:57:43",Had views like this every single day dude! 
"22 Sep 2018, 15:12:01",Maiden Zwifty dude? 
"26 Sep 2018, 03:04:10",So much climbing potench! The scrambling up to the peaks was fun enough. The granite rock is so grippy. 
"14 Oct 2018, 14:17:38",Missed top spot by 1 second 😭
"15 Oct 2018, 11:41:33",There he is! Popping a degree dude?
"15 Oct 2018, 12:04:51",So much fun. Nice work dude. 
"18 Oct 2018, 20:49:18",Very mysterious... 
"19 Oct 2018, 08:00:16",Max heartrate 184. WORKING.
"19 Oct 2018, 08:05:07",Great ride dude.
