Follower Athlete ID,Follow Status,Created At
2252130,Accepted,"18 Apr 2014, 09:22:52"
1673928,Accepted,"18 Apr 2014, 09:27:18"
2237004,Accepted,"24 Apr 2014, 13:37:16"
2458503,Accepted,"11 May 2014, 13:55:38"
1873892,Accepted,"13 May 2014, 22:03:20"
1075312,Accepted,"12 Jun 2014, 18:17:27"
1118008,Accepted,"19 Jun 2014, 10:26:19"
7414070,Accepted,"29 Dec 2014, 22:40:22"
2788608,Accepted,"27 Feb 2015, 19:49:11"
2136546,Accepted,"25 Apr 2015, 15:03:00"
8874557,Accepted,"27 Apr 2015, 18:00:33"
7841013,Accepted,"26 Jun 2015, 14:26:15"
2838139,Accepted,"3 Oct 2015, 17:53:36"
3546034,Accepted,"3 Oct 2015, 18:14:12"
7992409,Accepted,"29 Dec 2015, 14:51:31"
12992740,Accepted,"12 Mar 2016, 13:09:39"
12940346,Accepted,"21 Mar 2016, 20:36:20"
6636140,Accepted,"10 May 2016, 17:08:45"
1617257,Accepted,"24 May 2016, 20:55:14"
7590379,Accepted,"12 Jul 2016, 17:47:25"
16378333,Accepted,"17 Jul 2016, 12:03:19"
16152959,Accepted,"17 Jul 2016, 18:03:05"
4749578,Accepted,"21 Jul 2016, 16:41:47"
12327135,Accepted,"13 Sep 2016, 07:17:36"
2351606,Accepted,"24 Sep 2016, 20:27:36"
7846743,Accepted,"25 Mar 2017, 10:12:11"
2721476,Accepted,"30 Apr 2017, 11:01:52"
9136691,Accepted,"11 May 2017, 05:46:05"
1859380,Accepted,"24 May 2017, 19:02:22"
24195236,Accepted,"3 Oct 2017, 11:29:08"
22390276,Accepted,"9 Oct 2017, 16:00:05"
11666152,Accepted,"22 Oct 2017, 17:39:49"
26365398,Accepted,"22 Nov 2017, 17:49:56"
25825595,Accepted,"20 Jan 2018, 08:12:30"
29240548,Accepted,"25 Mar 2018, 15:36:35"
22450042,Accepted,"25 Mar 2018, 22:47:27"
26555412,Accepted,"28 Apr 2018, 15:33:54"
30236357,Accepted,"29 Apr 2018, 12:18:35"
21693080,Accepted,"30 Apr 2018, 19:39:51"
31124110,Accepted,"23 May 2018, 22:23:35"
30969928,Accepted,"26 May 2018, 12:25:55"
18031511,Accepted,"24 Jun 2018, 16:04:43"
33421780,Accepted,"4 Aug 2018, 10:49:15"
34765230,Accepted,"12 Sep 2018, 20:16:45"
32611184,Accepted,"12 Sep 2018, 21:20:23"
26110305,Accepted,"16 Sep 2018, 21:36:32"
12413983,Accepted,"2 Oct 2018, 16:17:46"
29899094,Accepted,"8 Oct 2018, 12:36:42"
2149681,Accepted,"16 Oct 2018, 16:28:02"
12750049,Accepted,"24 Oct 2018, 19:32:48"
11666927,Accepted,"31 Oct 2018, 22:41:33"
