Following Athlete ID,Follow Status,Created At
1118008,Accepted,"18 Apr 2014, 08:01:04"
1859380,Accepted,"18 Apr 2014, 08:01:08"
2351606,Accepted,"18 Apr 2014, 08:01:10"
1673928,Accepted,"18 Apr 2014, 08:01:13"
1617257,Accepted,"18 Apr 2014, 08:01:18"
2237004,Accepted,"18 Apr 2014, 08:01:22"
2252130,Accepted,"18 Apr 2014, 08:03:56"
2315612,Accepted,"18 Apr 2014, 08:07:30"
1075312,Accepted,"18 Apr 2014, 08:07:32"
2458503,Accepted,"5 May 2014, 21:04:43"
2136546,Accepted,"6 May 2014, 07:46:20"
144100,Accepted,"30 Oct 2014, 11:15:45"
7414070,Accepted,"6 Jan 2015, 10:22:29"
7590379,Accepted,"15 Jan 2015, 11:06:54"
2788608,Accepted,"13 Feb 2015, 22:58:37"
8874557,Accepted,"28 Apr 2015, 09:01:52"
7841013,Accepted,"20 Sep 2015, 19:57:25"
3546034,Accepted,"3 Oct 2015, 17:37:14"
2838139,Accepted,"3 Oct 2015, 17:37:16"
12413983,Accepted,"15 Dec 2015, 15:08:16"
12504974,Accepted,"29 Dec 2015, 14:06:15"
7992409,Accepted,"29 Dec 2015, 14:06:19"
12992740,Accepted,"22 Mar 2016, 12:46:25"
12940346,Accepted,"22 Mar 2016, 12:47:00"
6636140,Accepted,"10 May 2016, 17:06:55"
5452411,Accepted,"3 Jun 2016, 10:48:46"
16378333,Accepted,"18 Jul 2016, 20:04:40"
16152959,Accepted,"18 Jul 2016, 20:04:51"
9136691,Accepted,"21 Sep 2016, 09:23:40"
7846743,Accepted,"21 Sep 2016, 09:24:19"
12879264,Accepted,"21 Sep 2016, 09:24:32"
1719925,Accepted,"3 Dec 2016, 23:24:14"
2721476,Accepted,"18 Jan 2017, 10:15:17"
437111,Accepted,"20 Feb 2017, 16:36:40"
7603337,Accepted,"10 Jun 2017, 23:45:01"
24195236,Accepted,"3 Oct 2017, 11:29:50"
22390276,Accepted,"12 Oct 2017, 13:05:25"
11666152,Accepted,"23 Oct 2017, 13:25:43"
25825595,Accepted,"20 Jan 2018, 08:32:45"
29240548,Accepted,"25 Mar 2018, 15:41:29"
22450042,Accepted,"25 Mar 2018, 21:01:46"
26365398,Accepted,"27 Mar 2018, 20:41:50"
29539660,Accepted,"6 Apr 2018, 12:17:42"
30236357,Accepted,"28 Apr 2018, 15:19:27"
21693080,Accepted,"30 Apr 2018, 20:27:27"
2149681,Accepted,"12 May 2018, 19:35:47"
30969928,Accepted,"26 May 2018, 12:25:24"
18031511,Accepted,"24 Jun 2018, 14:27:55"
31809757,Accepted,"4 Aug 2018, 10:12:06"
